eia_plant_id,eia_plant_name,resource_names,locked
56592,Champion Wind Farm LLC,CHAMPION_UNIT1;CHAMPION_UNIT2;CHAMPION_UNIT3,0
63883,Samson Solar Energy III LLC,SAMSON_1_G1;SAMSON_1_G2;SAMSON_1_G3;SAMSON_1_G4;SAMSON_3_G1;SAMSON_3_G2,0
65876,Desna,DESN_ESS_ESR1,0
65975,Starr Solar Ranch,MAND_SLR_UNIT1,0
65979,Peregrine Solar,PERE_SLR_UNIT1;PERE_SLR_UNIT2,0
67095,"Montgomery Ranch Wind Farm, LLC",MONT_WND_UNIT1;MONT_WND_UNIT2,0
67860,GFTX BESS,GIGA_ESS_ESR1,0
68155,Rio Lago Solar,SHAW_SLR_UNIT1,0
68348,Alamo City ESS,ALAMO_ST_ESR1;CARA_ESS_ESR1,0
3601,Sim Gideon,GIDEON_GIDEONG1;GIDEON_GIDEONG2;GIDEON_GIDEONG3,0
4939,Barney M Davis,B_DAVIS_CC1_1,0
10554,Formosa Utility Venture Ltd,FORMOSA_CC1_12;FORMOSA_CC2_5;FORMOSA_FORMOSG11;FORMOSA_FORMOSG12;FORMOSA_FORMOSG8,0
52088,Texas City Power Plant,TOPAZ_UNIT1;TOPAZ_UNIT10;TOPAZ_UNIT2;TOPAZ_UNIT3;TOPAZ_UNIT4;TOPAZ_UNIT5;TOPAZ_UNIT6;TOPAZ_UNIT7;TOPAZ_UNIT8;TOPAZ_UNIT9,0
52176,C R Wing Cogen Plant,PPEC_GT7;PPEC_GT8,0
56270,Callahan Divide Wind Energy Center,CALLAHAN_WND1;HHGT_CALLAHAN,0
56920,Panther Creek Wind Farm I,PC_NORTH_PANTHER1;PC_SOUTH_PANTHER2,0
56983,Papalote Creek I LLC,KARAKAW1_UNIT1;KARAKAW1_UNIT2;KARAKAW2_UNIT3,0
57751,Los Vientos Wind 1A,BCATWIND_WIND_1,0
57802,Magic Valley Wind Farm I LLC,EL_RAYO_UNIT1;EL_RAYO_UNIT2,0
58005,Rayburn Energy Station LLC,RAYBURN_CC1_1,0
58614,Patriot Wind Farm,SHAFFER_UNIT1,0
59005,Mariah del Norte,MARIAH_NORTE1;MARIAH_NORTE2,0
59320,Los Vientos Windpower III,VENADO_UNIT1;VENADO_UNIT2,0
59972,Bearkat,HARALD_UNIT1,0
59994,RE Roserock,WAYMARK_UNIT1,0
60123,Castle Gap Solar Hybrid,CASL_GAP_UNIT1;QUEEN_SL_SOLAR1;QUEEN_SL_SOLAR2;QUEEN_SL_SOLAR3;QUEEN_SL_SOLAR4,0
60789,Bluebell Solar,CAPRIDG4_BB2_PV1;CAPRIDG4_BB2_PV2;CAPRIDG4_BB_PV,0
61212,Flat Top Wind I,AGUAYO_UNIT1,0
62038,Santa Rita East,OVEJA_G1;OVEJA_G2,0
62566,Blue Summit III Wind,RSNAKE_G1;RSNAKE_G2,0
62762,NASA Johnson Space Center CHP,MIRAGE_GEN_0001;SPNCER_SPNCE_4;SPNCER_SPNCE_5,0
63880,TX17 Nickel Prairie Storage,BRAZORIA_ESR1,0
63892,Lily Solar Hybrid,ERKA_SLR_UNIT1,0
64164,"Azure Sky Wind Project, LLC Hybrid",AZURE_ESR1,0
64294,Odessa,APPLE_ESR1,0
64322,Zapata,ZAPATA_ESR1;ZAPATA_ESR2,0
64423,TX7 Flat Top,CEDRVALE_ESR1;SADLBACK_ESR1;SGSA_ESR1,0
64916,Swoose I,PYOTE_ESR1,0
65028,"Roseland Solar Project, LLC",ROSELAND_SOLAR1;ROSELAND_SOLAR2;ROSELAND_SOLAR3,0
65849,Oriana Solar LLC,ORIANA_UNIT1,0
65853,Middlebrook Creek Solar and BESS,LILY_SOLAR1,0
65880,Zeya,EVLN_ESS_ESR1,0
65899,"Rosebud Solar, LLC",CORALSLR_SOLAR1;CORALSLR_SOLAR2,0
66123,Prairie Switch Wind LLC,CRAWFISH_UNIT1,0
66216,Yaupon Solar Project (Hybrid),YAPN_SLR_PV1;YAPN_SLR_PV2,0
67580,Markum Solar Farm,MRKM_SLR_PV1,1
66401,OCI Hillsboro,CMPD_SLR_SOLAR1;CMPD_SLR_SOLAR2;CMPD_SLR_SOLAR3,0
66688,"Bright Arrow Solar, LLC",BR_ARROW_UNIT1;BR_ARROW_UNIT2,0
66692,"Holly Branch Solar, LLC",BART_SLR_SOLAR1,0
66872,"Estonian Solar Project, LLC",ESTONIAN_SOLAR1;ESTONIAN_SOLAR2,0
66897,"Midpoint Solar, LLC",MIDP_SLR_SOLAR1,0
66933,SMT Harlingen II LLC,HARLIN_1_ESR1,0
67019,"Copperhead Solar, LLC",PORT_SLR_UNIT1,0
67341,SGT Hoskins Solar Project Hybrid,DELILA_1_G1;DELILA_1_G2;DELILA_2_G1;DELILA_2_G2;DELILA_2_G3,0
67762,Stampede Solar Hybrid,STAM_SLR_SOLAR1;STAM_SLR_SOLAR2,1
67765,Compadre Solar,TROJ_SLR_PV1;TROJ_SLR_PV2,0
68474,Peacock Energy Project,JKLP_SLR_PV1;JKLP_SLR_PV2,0
68481,Hill Solar II,MERCURY_PV1;MERCURY_PV2;MLB_SLR_SOLAR1;MLB_SLR_SOLAR2;MLB_SLR_SOLAR3,0
68613,Guajillo Energy Storage,CORAZON_ESR1,0
68839,Hecate Energy Longhorn Solar LLC,PINN_SLR_UNIT1;PINN_SLR_UNIT2;PINN_SLR_UNIT3,0
69010,Hubbard Wind II,AQUILLA_U1_23;AQUILLA_U1_28;AQUILLA_U2_23;AQUILLA_U2_28,0
69244,Cross Trails Energy Storage Project,PEARSALL_ESR1,0
69296,BESS La Feria,OLMITO_ESR1,0
69298,PP Jaguar BESS LLC,BR_ARROW_ESR1;BR_ARROW_ESR2;DESN_ESS_ESR1,0
69333,Regis Goodwin LLC,GOODWIN_ESR1,0
69336,Regis Gears Harris,E_HARRIS_ESR1,0
69341,Regis Medina Lake,UTOPIA_ESR1,0
69366,SME Mission II BESS,PALMVIEW_ESR1;SE_EDINB_ESR1,0
