project,resource_name,tech,status,queue_id,capacity_mw,hub,county,grade,overall_score,completeness_pct,verification_score,calibration_score,eia_crosswalk,eia_plant_id,sced_actuals,gen_profile,plant_value,location_confidence,portal,missing_fields,coverage
Anchor Wind Iii,ANCHOR_WIND5,Wind,operating,,16.0,North,Eastland,C,68.9,66.7,40,100,False,,True,True,True,,,hub_height_m; turbine_model; turbine_manuf; rotor_diameter_m,Registry; Wind Forecast; SCED ETL; Plant Value
Azalea Springs Solar,ASCK_SLR_SOLAR1,Solar,operating,,181.0,Houston,Angelina,B,86.7,80.0,80,100,True,66905,True,True,True,,,tracking_type; dc_ac_ratio,Registry; Solar Forecast; SCED ETL; Plant Value
Blevins Solar,BLVN_SLR_SOLAR3,Solar,operating,,271.58,North,Falls,B,86.7,100.0,60,100,False,,True,True,True,medium,,,Registry; Solar Forecast; SCED ETL; Plant Value
Bynum Solar Project,BYNM_SLR_SOLAR1,Solar,operating,,56.0,North,Coryell,B,86.7,80.0,80,100,True,67459,True,True,True,,,tracking_type; dc_ac_ratio,Registry; Solar Forecast; SCED ETL; Plant Value
Diver Solar,DIVR_SLR_SOLAR2,Solar,operating,,225.59,North,Limestone,B,86.7,80.0,80,100,True,68483,True,True,True,,,tracking_type; dc_ac_ratio,Registry; Solar Forecast; SCED ETL; Plant Value
Eldora Solar,DORA_SLR_SOLAR2,Solar,operating,,200.94,South,Matagorda,B,86.7,80.0,80,100,True,65847,True,True,True,,,tracking_type; dc_ac_ratio,Registry; Solar Forecast; SCED ETL; Plant Value
Dry Creek Solar I,DRCK_SLR_SOLAR1,Solar,operating,,201.06,Houston,Rusk,B,86.7,80.0,80,100,True,64132,True,True,True,,,tracking_type; dc_ac_ratio,Registry; Solar Forecast; SCED ETL; Plant Value
Eliza Solar,ELZA_SLR_SOLAR1,Solar,operating,,151.7,North,Kaufman,B,86.7,100.0,60,100,False,,True,True,True,low,,,Registry; Solar Forecast; SCED ETL; Plant Value
Gaia Solar,GAIA_SLR_SOLAR1,Solar,operating,,144.02,North,Navarro,B,86.7,100.0,60,100,False,,True,True,True,low,,,Registry; Solar Forecast; SCED ETL; Plant Value
Greyhound Solar,GRYH_SLR_SOLAR8,Solar,operating,,335.45,West,Ector,B,86.7,100.0,60,100,False,,True,True,True,low,,,Registry; Solar Forecast; SCED ETL; Plant Value
Blue Jay Solar,JKLP_SLR_PV1,Solar,operating,,141.05,North,Robertson,A,100.0,100.0,100,100,True,68474,True,True,True,high,,,Registry; Solar Forecast; SCED ETL; Plant Value
Long Point Solar,LNP_SOLAR1,Solar,operating,,120.7,Houston,Fort Bend,B,86.7,100.0,60,100,False,,True,True,True,medium,,,Registry; Solar Forecast; SCED ETL; Plant Value
Midpoint Solar,MIDP_SLR_SOLAR1,Solar,operating,,98.3,North,Hill,B,86.7,80.0,80,100,True,66897,True,True,True,,,tracking_type; dc_ac_ratio,Registry; Solar Forecast; SCED ETL; Plant Value
Monte Cristo 1 Wind,MONTECR1_WIND1,Wind,operating,,234.5,South,Hidalgo,A,91.7,75.0,100,100,True,67875,True,True,True,low,,turbine_model; turbine_manuf; rotor_diameter_m,Registry; Wind Forecast; SCED ETL; Plant Value
Maryneal Wind,MARYNEAL_UNIT1,Wind,operating,,182.4,North,Nolan,A,100.0,100.0,100,100,True,62836,True,True,True,high,,,Registry; Wind Forecast; SCED ETL; Plant Value
Norton Solar,NRTN_SLR_SOLAR1,Solar,operating,,128.48,West,Runnels,B,86.7,80.0,80,100,True,61967,True,True,True,,,tracking_type; dc_ac_ratio,Registry; Solar Forecast; SCED ETL; Plant Value
Roseland Solar,ROSELAND_SOLAR1,Solar,operating,,250.0,North,Falls,A,100.0,100.0,100,100,True,65998,True,True,True,medium,,,Registry; Solar Forecast; SCED ETL; Plant Value
Trojan Solar Slf,TROJ_SLR_PV2,Solar,operating,,150.59,North,Cooke,A,100.0,100.0,100,100,True,67765,True,True,True,medium,,,Registry; Solar Forecast; SCED ETL; Plant Value
Wildwind,WILDWIND_UNIT1,Wind,operating,,180.08,West,Cooke,A,100.0,100.0,100,100,True,62715,True,True,True,high,,,Registry; Wind Forecast; SCED ETL; Plant Value
Markham Solar,MRKM_SLR_PV1,Solar,operating,,161.0,North,Throckmorton,A,93.3,100.0,80,100,True,67580,True,True,True,,Markum Solar,,Registry; Solar Forecast; SCED ETL; Plant Value; Portal (ERCOT_Markum)
Maryneal Solar,MROW_SLR_SOLAR1,Solar,operating,,182.4,West,Nolan,B,86.7,80.0,80,100,True,66775,True,True,True,,,tracking_type; dc_ac_ratio,Registry; Solar Forecast; SCED ETL; Plant Value
Frye Solar,FRYE_SLR_UNIT1,Solar,operating,,200.0,West,Swisher,A,100.0,100.0,100,100,True,64233,True,True,True,high,,,Registry; Solar Forecast; SCED ETL; Plant Value
Ajax Wind,AJAXWIND_UNIT1,Wind,operating,,200.0,West,Wilbarger,B,86.7,100.0,60,100,False,,True,True,True,high,,,Registry; Wind Forecast; SCED ETL; Plant Value
Monte Cristo Wind,MONTECR1_WIND1,Wind,operating,,234.5,South,Hidalgo,A,97.2,91.7,100,100,True,67875,True,True,True,high,,rotor_diameter_m,Registry; Wind Forecast; SCED ETL; Plant Value
Shaffer Wind,SHAFFER_UNIT1,Wind,operating,,200.0,South,Nueces,A,100.0,100.0,100,100,True,58614,True,True,True,high,,,Registry; Wind Forecast; SCED ETL; Plant Value
Nazareth Solar,AZSP_SLR_SOLAR1,Solar,operating,,203.0,West,Castro,B,86.7,80.0,80,100,True,66905,True,True,True,,,tracking_type; dc_ac_ratio,Registry; Solar Forecast; SCED ETL; Plant Value
Castro Solar,AZSP_SLR_SOLAR2,Solar,planned,20INR0050,224.67,West,Castro,B,86.7,80.0,80,100,False,,False,True,True,high,,tracking_type; dc_ac_ratio,Registry; Solar Forecast; Plant Value
Pine Forest Solar,PISGAH_SOLAR1,Solar,operating,,301.51,Houston,Newton,B,86.7,80.0,80,100,True,65631,True,True,True,,,tracking_type; dc_ac_ratio,Registry; Solar Forecast; SCED ETL; Plant Value
Rio Bravo Wind,CABEZON_WIND1,Wind,operating,,237.6,South,Starr,A,94.4,83.3,100,100,True,61865,True,True,True,low,,turbine_manuf; rotor_diameter_m,Registry; Wind Forecast; SCED ETL; Plant Value
Route 66 Wind,ROUTE_66_WIND1,Wind,operating,,150.0,Pan,Armstrong,B,87.8,83.3,80,100,True,58681,True,True,True,,,turbine_manuf; rotor_diameter_m,Registry; Wind Forecast; SCED ETL; Plant Value
Los Mirasoles Wind,MIRASOLE_MIR11,Wind,operating,,300.0,South,Hidalgo,B,86.7,100.0,60,100,False,,True,True,True,high,,,Registry; Wind Forecast; SCED ETL; Plant Value
Hidalgo Wind,HIDALGO_WIND1,Wind,operating,,100.0,South,Hidalgo,B,86.7,100.0,60,100,True,57617,False,True,True,high,,,Registry; Wind Forecast; Plant Value
Capricorn Ridge,CAPRIDGE_WIND_AGG,Wind,operating,,663.0,West,Sterling,A,100.0,100.0,100,100,True,,True,True,True,low,,,Registry; Wind Forecast; SCED ETL; Plant Value
Horse Hollow,HHOLLOW2_WIND1,Wind,operating,,735.5,West,Taylor,A,100.0,100.0,100,100,True,56291,True,True,True,high,,,Registry; Wind Forecast; SCED ETL; Plant Value
South Plains,SPLAIN1_WIND1,Wind,operating,,500.0,Pan,Floyd,B,86.7,100.0,60,100,False,,True,True,True,high,,,Registry; Wind Forecast; SCED ETL; Plant Value
Green Pastures,GPASTURE_WIND_I,Wind,operating,,300.0,North,Baylor,B,86.7,100.0,60,100,False,,True,True,True,high,,,Registry; Wind Forecast; SCED ETL; Plant Value
Hereford Wind,HRFDWIND_WIND_G,Wind,operating,,200.0,Pan,Deaf Smith,B,86.7,100.0,60,100,False,,True,True,True,medium,,,Registry; Wind Forecast; SCED ETL; Plant Value
Cameron Wind,CAMWIND_UNIT1,Wind,operating,,165.0,South,Cameron,B,86.7,100.0,60,100,False,,True,True,True,high,,,Registry; Wind Forecast; SCED ETL; Plant Value
San Roman Wind,SANROMAN_WIND_1,Wind,operating,,93.0,South,Cameron,B,86.7,100.0,60,100,False,,True,True,True,medium,,,Registry; Wind Forecast; SCED ETL; Plant Value
Tyler Bluff,TYLRWIND_UNIT1,Wind,operating,,120.0,North,Cooke,B,86.7,100.0,60,100,False,,True,True,True,low,,,Registry; Wind Forecast; SCED ETL; Plant Value
Flat Top Wind,FTWIND_UNIT_1,Wind,operating,,200.0,North,Mills,B,86.7,100.0,60,100,False,,True,True,True,high,,,Registry; Wind Forecast; SCED ETL; Plant Value
Bobcat Wind,BCATWIND_WIND_1,Wind,operating,,150.0,West,Glasscock,A,100.0,100.0,100,100,True,57751,True,True,True,high,,,Registry; Wind Forecast; SCED ETL; Plant Value
Goat Mountain,GOAT_GOATWIND,Wind,operating,,150.0,West,Sterling,B,86.7,100.0,60,100,False,,True,True,True,medium,,,Registry; Wind Forecast; SCED ETL; Plant Value
South Ranch Wind,SRWE1_SRWE2,Wind,operating,,100.0,South,Hidalgo,B,86.7,100.0,60,100,False,,True,True,True,high,,,Registry; Wind Forecast; SCED ETL; Plant Value
Vera Wind,VERAWIND_UNIT1,Wind,operating,,240.0,North,Knox,A,100.0,100.0,100,100,True,62411,True,True,True,medium,,,Registry; Wind Forecast; SCED ETL; Plant Value
Azure Sky Wind,AZURE_SKY_WIND_AGG,Wind,operating,,350.0,North,Throckmorton,A,100.0,100.0,100,100,True,,True,True,True,high,Azure Sky Wind,,Registry; Wind Forecast; SCED ETL; Plant Value; Portal (ERCOT_Azure_Sky)
Mesquite Star,WH_WIND_UNIT2,Wind,operating,19INR0080,418.9,North,Fisher,A,100.0,100.0,100,100,True,62587,True,True,True,high,,,Registry; Wind Forecast; SCED ETL; Plant Value
Millers Branch 2,MILLERS_BRANCH_2,Solar,planned,22INR0270,50.0,North,Haskell,B,86.7,80.0,80,100,False,,False,True,True,high,,tracking_type; dc_ac_ratio,Registry; Solar Forecast; Plant Value
Star Dairy,STAR_DAIRY_SOLAR,Solar,planned,25INR0164,115.61,North,Lamar,A,93.3,100.0,80,100,False,,False,True,True,high,,,Registry; Solar Forecast; Plant Value
Rosebud,ROSEBUD_SOLAR,Solar,planned,24INR0040,50.0,North,Milam,B,86.7,80.0,80,100,False,,False,True,True,high,,tracking_type; dc_ac_ratio,Registry; Solar Forecast; Plant Value
Liberty Solar,LIBERTY_SOLAR,Solar,operating,,100.0,Houston,Liberty,B,86.7,100.0,60,100,True,67159,False,True,True,high,,,Registry; Solar Forecast; Plant Value
Stafford Solar,STAFFORD_SOLAR_AGG,Solar,operating,,250.0,West,Motley,B,86.7,100.0,60,100,True,68458,False,True,True,high,,,Registry; Solar Forecast; Plant Value
Big Spring Wind Power Facility,EIA_54979,Wind,operating,,34.3,West,Howard,F,35.6,66.7,40,0,True,54979,False,False,False,,,hub_height_m; turbine_model; turbine_manuf; rotor_diameter_m,Registry; Wind Forecast
King Mountain Wind Ranch 1,EIA_55581,Wind,operating,,278.0,West,Upton,F,35.6,66.7,40,0,True,55581,False,False,False,,,hub_height_m; turbine_model; turbine_manuf; rotor_diameter_m,Registry; Wind Forecast
NWP Indian Mesa Wind Farm,EIA_55747,Wind,operating,,82.5,West,Pecos,F,35.6,66.7,40,0,True,55747,False,False,False,,,hub_height_m; turbine_model; turbine_manuf; rotor_diameter_m,Registry; Wind Forecast
Woodward Mountain II,EIA_55795,Wind,operating,,78.0,West,Pecos,F,35.6,66.7,40,0,True,55795,False,False,False,,,hub_height_m; turbine_model; turbine_manuf; rotor_diameter_m,Registry; Wind Forecast
Woodward Mountain I,EIA_55796,Wind,operating,,82.0,West,Pecos,F,35.6,66.7,40,0,True,55796,False,False,False,,,hub_height_m; turbine_model; turbine_manuf; rotor_diameter_m,Registry; Wind Forecast
Trent Wind Farm,EIA_55968,Wind,operating,,152.0,West,Nolan,F,35.6,66.7,40,0,True,55968,False,False,False,,,hub_height_m; turbine_model; turbine_manuf; rotor_diameter_m,Registry; Wind Forecast
Desert Sky,EIA_55992,Wind,operating,,167.7,West,Pecos,F,35.6,66.7,40,0,True,55992,False,False,False,,,hub_height_m; turbine_model; turbine_manuf; rotor_diameter_m,Registry; Wind Forecast
Brazos Wind Farm,EIA_56111,Wind,operating,,182.4,West,Scurry,F,35.6,66.7,40,0,True,56111,False,False,False,,,hub_height_m; turbine_model; turbine_manuf; rotor_diameter_m,Registry; Wind Forecast
Sweetwater Wind 1 LLC,EIA_56211,Wind,operating,,37.5,West,Nolan,F,35.6,66.7,40,0,True,56211,False,False,False,,,hub_height_m; turbine_model; turbine_manuf; rotor_diameter_m,Registry; Wind Forecast
Sweetwater Wind 2 LLC,EIA_56212,Wind,operating,,98.8,West,Nolan,F,35.6,66.7,40,0,True,56212,False,False,False,,,hub_height_m; turbine_model; turbine_manuf; rotor_diameter_m,Registry; Wind Forecast
Buffalo Gap Wind Farm,EIA_56240,Wind,operating,,120.6,West,Taylor,F,35.6,66.7,40,0,True,56240,False,False,False,,,hub_height_m; turbine_model; turbine_manuf; rotor_diameter_m,Registry; Wind Forecast
Callahan Divide Wind Energy Center,EIA_56270,Wind,operating,,114.0,West,Taylor,F,35.6,66.7,40,0,True,56270,False,False,False,,,hub_height_m; turbine_model; turbine_manuf; rotor_diameter_m,Registry; Wind Forecast
Sweetwater Wind 3 LLC,EIA_56311,Wind,operating,,135.0,West,Nolan,F,35.6,66.7,40,0,True,56311,False,False,False,,,hub_height_m; turbine_model; turbine_manuf; rotor_diameter_m,Registry; Wind Forecast
